"promo_id","sales_id","item_id","purchase_date","quantity","buyer_id","seller_id","promo_name","price_deduction","description","duration"
1,5587,188,"2022-07-01",3,112,143,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
1,5517,438,"2022-07-01",3,99,296,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
2,5740,144,"2022-07-01",3,114,64,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5578,400,"2022-07-01",2,44,284,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5742,188,"2022-07-01",2,99,143,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5909,262,"2022-07-01",2,50,196,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
1,5755,76,"2022-07-01",1,38,56,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
1,5463,49,"2022-07-01",3,108,18,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
1,6028,262,"2022-07-01",2,88,196,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
2,5548,356,"2022-07-01",3,61,234,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
1,5691,307,"2022-07-01",2,65,226,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
1,5795,242,"2022-07-01",3,16,124,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
1,5962,394,"2022-07-01",1,64,280,"AWAL_GAJIAN",15000,"Setiap Bulan Khusus Tanggal 1",1
2,6098,20,"2022-07-01",2,7,14,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5519,85,"2022-07-01",1,30,65,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5807,157,"2022-07-02",3,111,119,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5632,204,"2022-07-02",2,46,150,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5729,41,"2022-07-02",2,86,31,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5616,371,"2022-07-02",2,102,260,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5966,269,"2022-07-02",3,41,199,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5855,36,"2022-07-02",1,17,26,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5586,254,"2022-07-02",1,113,190,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5458,73,"2022-07-02",3,87,53,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5816,134,"2022-07-02",2,11,103,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5507,431,"2022-07-02",3,38,304,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5689,129,"2022-07-03",1,22,94,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5918,432,"2022-07-03",2,83,305,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6131,153,"2022-07-03",3,35,115,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6082,394,"2022-07-03",3,5,280,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5479,240,"2022-07-03",2,26,181,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6052,44,"2022-07-03",1,83,34,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6161,128,"2022-07-03",1,23,98,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5824,94,"2022-07-03",3,88,66,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6188,223,"2022-07-03",3,1,169,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6151,139,"2022-07-03",1,70,64,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5490,265,"2022-07-03",3,30,113,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5560,156,"2022-07-03",2,110,118,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5714,419,"2022-07-04",3,35,267,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5698,113,"2022-07-04",3,17,87,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,6147,216,"2022-07-04",2,103,148,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5528,129,"2022-07-04",2,89,94,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
2,5959,167,"2022-07-04",1,51,129,"GRATIS_ONGKIR",5000,"Berlaku Tahun 2022",365
